MES,FECHA,DESCRIPCIÓN,PAX AFECTADOS,MARCA,REFERENCIA,MODELO
3,22/03/2010,Turbo,24,MERCEDES BENZ,OH1636,2004
3,23/03/2010,Corto eléctrico,1,CHEVROLET,LV150,2004
3,23/03/2010,Fuerza,13,MERCEDES BENZ,413CDI,2007
3,23/03/2010,Tobera,4,MERCEDES BENZ,OH1636,2005
3,24/03/2010,Compresor,9,MERCEDES BENZ,OH1636,2003
3,25/03/2010,Aire en sistema,10,MERCEDES BENZ,LO915,2004
3,25/03/2010,Tobera,11,MERCEDES BENZ,OH1636,2005
3,26/03/2010,Aire acondicionado,34,MERCEDES BENZ,OH1636,2005
3,26/03/2010,Tubo de aceite del turbo,33,CHEVROLET,LV150,2004
3,26/03/2010,Manguera de aire comprimido,13,HINO,FB4JJ,2007
3,26/03/2010,Alternador,23,HINO,FB4JJ,2007
3,26/03/2010,Alternador,25,AGRALE,"MA8,5TCA",2006
3,27/03/2010,Manguera hidráulico,16,HINO,FB4JJ,2009
3,27/03/2010,Fuga de valvulina,13,AGRALE,"MA8,5TCA",2006
3,27/03/2010,Caja de velocidades,32,MERCEDES BENZ,OH1636,2002
3,27/03/2010,Campana rota,37,MERCEDES BENZ,OH1636,2005
3,27/03/2010,Caja de velocidades,36,CHEVROLET,LV150,2008
3,27/03/2010,Patín tensor,14,MERCEDES BENZ,313CDI,2003
3,28/03/2010,Turbo,9,MERCEDES BENZ,313CDI,2004
3,28/03/2010,Control cambios,14,MERCEDES BENZ,313CDI,2003
3,29/03/2010,Turbo,14,MERCEDES BENZ,313CDI,2009
3,30/03/2010,Espárragos rueda,17,MERCEDES BENZ,413CDI,2009
3,30/03/2010,Tornillos del cardan,15,CHEVROLET,LV150,2005
3,30/03/2010,Bomba de agua,31,SCANIA,K124LL,2004
3,31/03/2010,Tobera,24,MERCEDES BENZ,OH1636,2006
3,31/03/2010,Motor,34,MERCEDES BENZ,OH1636,2004
3,31/03/2010,Control cambios,38,MERCEDES BENZ,OH1636,2005
3,31/03/2010,Motor,31,MERCEDES BENZ,OH1636,2006
3,31/03/2010,Ventilador,33,SCANIA,K124LL,2005
3,31/03/2010,Culata,12,HINO,FB4JJ,2004
3,31/03/2010,Fuga de aceite,21,MITSUBISHI,RP1118,2004
3,31/03/2010,Corto eléctrico,38,MERCEDES BENZ,OH1636,2006
4,01/04/10,Manguera del turbo,26,AGRALE,"MA8,5TCA",2008
4,02/04/10,Muelle,17,CHEVROLET,LV150,2005
4,03/04/10,Caja de velocidades,6,AGRALE,"MA8,5TCA",2006
4,03/04/10,Compresor,34,MERCEDES BENZ,OH1636,2006
4,03/04/10,Turbo,25,AGRALE,"MA8,5TCA",2006
4,03/04/10,Caja de velocidades,34,MERCEDES BENZ,OH1636,2005
4,04/04/10,Radiador roto,23,MERCEDES BENZ,OH1636,2005
4,04/04/10,Corto eléctrico,21,HINO,FB4JJ,2005
4,04/04/10,Combustible sucio,34,MERCEDES BENZ,OH1636,2006
4,04/04/10,Campana rota,25,CHEVROLET,LV150,2005
4,04/04/10,Control cambios,38,MERCEDES BENZ,OH1636,2007
4,05/04/10,Caja de velocidades,38,SCANIA,K124TL,2006
4,06/04/10,Corto eléctrico,9,VOLKSWAGEN,LT46,2005
4,06/04/10,Manguera de aire comprimido,12,MERCEDES BENZ,OH1636,2006
4,07/04/10,Semieje delantero roto,18,NISSAN,CABSTAR,2007
4,08/04/10,Manguera del turbo,7,MERCEDES BENZ,313CDI,2003
4,08/04/10,Caja de velocidades,22,MERCEDES BENZ,OH1636,2005
4,08/04/10,Caja de velocidades,15,SCANIA,K360,2004
4,09/04/10,Control cambios,25,MERCEDES BENZ,O500RS,2006
4,10/04/10,Batería estallada,7,MERCEDES BENZ,LO915,2006
4,10/04/10,Fuerza,7,AGRALE,"MA8,5TCA",2006
4,11/04/10,Turbo,12,MERCEDES BENZ,313CDI,2009
4,12/04/10,Balinera del cardan,6,MERCEDES BENZ,313CDI,2008
4,12/04/10,Caja de velocidades,9,AGRALE,"MA8,5TCA",2007
4,12/04/10,Compresor,21,VOLVO,B12R,2006
4,14/04/2010,Embrague,8,MERCEDES BENZ,O500RS,2006
4,14/04/2010,Caja de velocidades,11,AGRALE,"MA8,5TCA",2007
4,15/04/2010,Caja de velocidades,6,HINO,FB4JJ,2006
4,15/04/2010,Temperatura,11,MERCEDES BENZ,313CDI,2003
4,15/04/2010,Corto eléctrico,10,MERCEDES BENZ,313CDI,2003
4,15/04/2010,Bomba de inyección,20,CHEVROLET,LV150,2005
